Gblade_tsr=7
             x                       y                       z
  -7.77733e-02             7.00000e-01            -2.00140e-02

  -5.79828e-02             9.87500e-01            -7.74760e-03
   1.73931e-01             9.87500e-01             2.33704e-02
   1.73739e-01             9.87500e-01             2.33773e-02
   1.73355e-01             9.87500e-01             2.33912e-02
   1.72779e-01             9.87500e-01             2.34119e-02
   1.72012e-01             9.87500e-01             2.34396e-02
   1.71057e-01             9.87500e-01             2.34740e-02
   1.69913e-01             9.87500e-01             2.35152e-02
   1.68584e-01             9.87500e-01             2.35631e-02
   1.67071e-01             9.87500e-01             2.36177e-02
   1.65377e-01             9.87500e-01             2.36797e-02
   1.63503e-01             9.87500e-01             2.37584e-02
   1.61453e-01             9.87500e-01             2.38445e-02
   1.59230e-01             9.87500e-01             2.39467e-02
   1.56837e-01             9.87500e-01             2.40630e-02
   1.54278e-01             9.87500e-01             2.41921e-02
   1.51558e-01             9.87500e-01             2.43394e-02
   1.48680e-01             9.87500e-01             2.44980e-02
   1.45649e-01             9.87500e-01             2.46780e-02
   1.42471e-01             9.87500e-01             2.48688e-02
   1.39149e-01             9.87500e-01             2.50819e-02
   1.35690e-01             9.87500e-01             2.53061e-02
   1.32098e-01             9.87500e-01             2.55537e-02
   1.28380e-01             9.87500e-01             2.58139e-02
   1.24541e-01             9.87500e-01             2.60999e-02
   1.20588e-01             9.87500e-01             2.64001e-02
   1.16526e-01             9.87500e-01             2.67248e-02
   1.12363e-01             9.87500e-01             2.70620e-02
   1.08106e-01             9.87500e-01             2.74148e-02
   1.03762e-01             9.87500e-01             2.77773e-02
   9.93382e-02             9.87500e-01             2.81490e-02
   9.48428e-02             9.87500e-01             2.85217e-02
   9.02827e-02             9.87500e-01             2.88971e-02
   8.56677e-02             9.87500e-01             2.92576e-02
   8.10032e-02             9.87500e-01             2.96171e-02
   7.63025e-02             9.87500e-01             2.99328e-02
   7.15684e-02             9.87500e-01             3.02399e-02
   6.68143e-02             9.87500e-01             3.04953e-02
   6.20442e-02             9.87500e-01             3.07267e-02
   5.72689e-02             9.87500e-01             3.09102e-02
   5.24960e-02             9.87500e-01             3.10470e-02
   4.77324e-02             9.87500e-01             3.11430e-02
   4.29906e-02             9.87500e-01             3.11622e-02
   3.82717e-02             9.87500e-01             3.11537e-02
   3.35951e-02             9.87500e-01             3.10305e-02
   2.89567e-02             9.87500e-01             3.08791e-02
   2.43767e-02             9.87500e-01             3.06058e-02
   1.98542e-02             9.87500e-01             3.02732e-02
   1.54024e-02             9.87500e-01             2.98367e-02
   1.10296e-02             9.87500e-01             2.92911e-02
   6.73800e-03             9.87500e-01             2.86721e-02
   2.54477e-03             9.87500e-01             2.79051e-02
  -1.55905e-03             9.87500e-01             2.71091e-02
  -5.54653e-03             9.87500e-01             2.61337e-02
  -9.43145e-03             9.87500e-01             2.51321e-02
  -1.31951e-02             9.87500e-01             2.40132e-02
  -1.68392e-02             9.87500e-01             2.28367e-02
  -2.03575e-02             9.87500e-01             2.16024e-02
  -2.37406e-02             9.87500e-01             2.02856e-02
  -2.69939e-02             9.87500e-01             1.89680e-02
  -3.00969e-02             9.87500e-01             1.75399e-02
  -3.30621e-02             9.87500e-01             1.61330e-02
  -3.58717e-02             9.87500e-01             1.46535e-02
  -3.85312e-02             9.87500e-01             1.31783e-02
  -4.10330e-02             9.87500e-01             1.16866e-02
  -4.33724e-02             9.87500e-01             1.01741e-02
